,stat,times,lengths
0,34,0.001992940902709961,195.18440979463458
1,38,0.0019941329956054688,213.3335954940874
2,40,0.002991914749145508,190.6784737786228
3,80,0.01597118377685547,245.96426249889052
4,36,0.0019931793212890625,194.3313413461101
5,36,0.0019948482513427734,185.13334405995846
6,68,0.009972810745239258,202.08009200058564
7,56,0.00598454475402832,222.29166021651815
8,76,0.01296687126159668,241.0992655844738
9,74,0.012964010238647461,223.35514549981136
10,44,0.002992868423461914,210.61490220934672
11,64,0.008975744247436523,273.82144344475984
12,36,0.0019502639770507812,216.32370224382112
13,58,0.007025480270385742,243.35549385375685
14,38,0.0019948482513427734,193.60071984718732
15,94,0.026882410049438477,248.22583273170414
16,76,0.01296544075012207,242.58171495449878
17,46,0.003989219665527344,197.29669421081667
18,80,0.015958547592163086,222.09463450305327
19,82,0.016954660415649414,214.01339491551977
20,78,0.014960050582885742,234.52421500260712
21,44,0.0029921531677246094,206.65632624206074
22,40,0.0029916763305664062,232.3517085997064
23,64,0.008976221084594727,227.862745842787
24,46,0.0029921531677246094,216.07268839616117
25,44,0.003988981246948242,223.7770179870537
26,70,0.010970830917358398,235.42106829535948
27,68,0.009973287582397461,211.47118701141477
28,56,0.005984067916870117,201.77764842169395
29,56,0.005983829498291016,233.84374779033726
30,52,0.004987001419067383,246.59037761275397
31,64,0.008975744247436523,221.58007999600753
32,38,0.001994609832763672,208.72684009906263
33,48,0.003989458084106445,210.40232451567218
34,48,0.003989219665527344,209.61596478258835
35,60,0.007978677749633789,210.90807859965193
36,30,0.0009975433349609375,217.60572190110085
37,42,0.002991914749145508,247.29209324988378
38,36,0.0019943714141845703,217.35468450316858
39,34,0.0019948482513427734,205.43164847708874
40,56,0.005983829498291016,190.62127501345472
41,66,0.008976221084594727,220.4257786502194
42,42,0.002991914749145508,196.74774873556126
43,72,0.011967897415161133,204.73769026679912
44,94,0.024933338165283203,220.0223222131103
45,80,0.015957355499267578,231.7835255346191
46,30,0.0009975433349609375,195.29453909116705
47,42,0.002991914749145508,195.97405582596105
48,70,0.010970592498779297,252.10705227335495
49,40,0.002991914749145508,198.05180934676815
50,42,0.0029921531677246094,214.94031500174194
51,42,0.0019953250885009766,221.2307800672997
52,52,0.003989458084106445,229.48507731559823
53,70,0.010970592498779297,239.27039343355497
54,74,0.01296544075012207,246.86895914807542
55,40,0.0029921531677246094,246.72232376827762
56,44,0.002991914749145508,214.77972158581719
57,32,0.000997304916381836,196.76912572585346
58,52,0.00498652458190918,245.49026143573178
59,46,0.003989219665527344,228.34954075887126
60,66,0.008976221084594727,234.33432764705591
61,88,0.019946575164794922,236.1692853413542
62,50,0.003989219665527344,218.07956128864146
63,56,0.005984067916870117,230.16052612229154
64,66,0.009973287582397461,263.08144238940474
65,36,0.001994609832763672,199.10277267650233
66,64,0.00797891616821289,216.3329714122739
67,38,0.002991914749145508,207.70244050183007
68,72,0.010970592498779297,193.89085284244462
69,38,0.0019948482513427734,208.23853155265482
70,74,0.012965202331542969,204.10505176875563
71,50,0.00498652458190918,213.58461967033173
72,106,0.03390955924987793,230.95418799061144
73,74,0.012965202331542969,211.2892627554879
74,52,0.004986763000488281,225.18525673176143
75,42,0.002991914749145508,198.752406663779
76,52,0.004987001419067383,241.36471469055616
77,38,0.0019943714141845703,210.86646276320604
78,38,0.001994609832763672,200.8178351739639
79,64,0.008975982666015625,237.52605349238002
80,52,0.00498652458190918,242.5365514505829
81,64,0.008976221084594727,212.6584945759327
82,82,0.016954660415649414,271.8257838432067
83,76,0.012965202331542969,222.44966744372385
84,40,0.002991914749145508,214.11578403696447
85,60,0.006981611251831055,216.97238606091528
86,70,0.011968135833740234,220.8277354193177
87,46,0.003989219665527344,223.1366916778154
88,98,0.026927947998046875,256.12354349781066
89,38,0.001994609832763672,199.99283328242242
90,34,0.001995086669921875,201.1315024205638
91,60,0.00698089599609375,237.61374021587355
92,30,0.0019948482513427734,209.96096320291505
93,82,0.015957117080688477,202.78270043062324
94,40,0.001994609832763672,244.19867963133794
95,64,0.008976221084594727,206.3680109586699
96,52,0.00498652458190918,183.2592645193852
97,64,0.007978677749633789,225.63911294784833
98,38,0.0029921531677246094,208.54451659620528
99,56,0.005983829498291016,210.19049868615284
